Name,Handedness,Height,Weight,Batting Average,Home Runs,Weight Bin,
Sandy Alomar,B,69,140,0.245,13,Light,15.44599483
Freddie Patek,R,65,148,0.242,41,Light,184.5133967
Jose Cardenal,R,70,150,0.275,138,Light,169.0674019
Ramon Manon,R,72,150,0,0,Light,199.9593915
Glenn Hubbard,R,69,150,0.244,70,Light,
Juan Beniquez,R,71,150,0.274,79,Light,
Vic Davalillo,L,67,150,0.279,36,Light,
Larry Lintz,B,69,150,0.227,0,Light,
Sonny Jackson,L,69,150,0.251,7,Light,
Manny Trillo,R,73,150,0.263,61,Light,
Gil Garrido,R,69,150,0.237,1,Light,
Leo Cardenas,R,71,150,0.257,118,Light,
Curt Ford,L,70,150,0.245,7,Light,
Luis Gomez,R,69,150,0.21,0,Light,
Mike Edwards,R,70,154,0.25,2,Light,
Domingo Ramos,R,70,154,0.24,8,Light,
Cesar Tovar,R,69,155,0.278,46,Light,
Dick Howser,R,68,155,0.248,16,Light,
Dave Concepcion,R,74,155,0.267,101,Light,
Frank Taveras,R,72,155,0.255,2,Light,
Enzo Hernandez,R,68,155,0.224,2,Light,
Cesar Gutierrez,R,69,155,0.235,0,Light,
Francisco Barrios,R,71,155,0,0,Light,
Fred Norman,B,68,155,0.125,0,Light,
Albert Hall,B,71,155,0.251,5,Light,
Larry Bowa,B,70,155,0.26,15,Light,
Ramon Pena,R,70,155,0,0,Light,
Mario Guerrero,R,70,155,0.257,7,Light,
Andre Robertson,R,70,155,0.251,5,Light,
Ron Washington,R,71,155,0.261,20,Light,
Jerry Morales,R,70,155,0.259,95,Light,
Dal Maxvill,R,71,157,0.217,6,Light,
Pepe Mangual,R,70,157,0.242,16,Light,
Pepe Frias,R,70,159,0.24,1,Light,
Tony Ferreira,L,73,160,0,0,Light,
Elio Chacon,R,69,160,0.232,4,Light,
Larry Brown,R,70,160,0.233,47,Light,
Bill Wilkinson,R,70,160,0,0,Light,
Manny Castillo,B,69,160,0.242,3,Light,
Greg Gross,L,70,160,0.287,7,Light,
Cookie Rojas,R,70,160,0.263,54,Light,
Chico Salmon,R,70,160,0.249,31,Light,
Chuck Schilling,R,70,160,0.239,23,Light,
Don Mason,L,71,160,0.205,3,Light,
Narciso Elvira,L,70,160,0,0,Light,
Rafael Vasquez,R,72,160,0,0,Light,
Oscar Gamble,L,71,160,0.265,200,Light,
John Donaldson,L,71,160,0.238,4,Light,
Gene Alley,R,70,160,0.254,55,Light,
Bud Harrelson,B,71,160,0.236,7,Light,
Derrel Thomas,B,72,160,0.249,43,Light,
Lenn Sakata,R,69,160,0.23,25,Light,
Bob Dernier,R,72,160,0.255,23,Light,
Win Remmerswaal,R,74,160,0,0,Light,
Matty Alou,L,69,160,0.307,31,Light,
Rennie Stennett,R,71,160,0.274,41,Light,
Onix Concepcion,R,66,160,0.239,3,Light,
Boots Day,L,69,160,0.256,8,Light,
Miguel Dilone,B,72,160,0.265,6,Light,
Ben Oglivie,L,74,160,0.273,235,Light,
