Metro,Industry,Growth (%) 2013-2014,Growth ($) 2013-2014
Los Angeles,Advertising & Marketing,24084.8223,471964878
Los Angeles,Business Products & Services,2036.3344,476830578.9
Los Angeles,Computer Hardware,376.8811,58642315.76
Los Angeles,Construction,1224.1943,122278556.3
Los Angeles,Consumer Products & Services,176395.6352,899848284.7
Los Angeles,Education,1740.5817,18220721.81
Los Angeles,Energy,12943.4622,169529145.8
Los Angeles,Engineering,841.7973,18260043.2
Los Angeles,Environmental Services,602.1417,3185148.993
Los Angeles,Financial Services,16722.7415,867074795.3
Los Angeles,Food & Beverage,59071.0232,240107747.6
Los Angeles,Government Services,236.8948,25538634.32
Los Angeles,Health,10516.3279,520130247.8
Los Angeles,Human Resources,1240.7999,62395955.61
Los Angeles,Insurance,737.1394,247047924.4
Los Angeles,IT Services,8182.2475,587736003.9
Los Angeles,Logistics & Transportation,1495.0479,149226654.4
Los Angeles,Manufacturing,7522.1832,66397934.82
Los Angeles,Media,4102.677,30535409.75
Los Angeles,Real Estate,1841.4676,86477592.76
Los Angeles,Retail,10434.8798,134239055.9
Los Angeles,Security,753.4898,588921263.8
Los Angeles,Software,9838.251,183472009.2
Los Angeles,Telecommunications,1318.7671,164434130.5
Los Angeles,Travel & Hospitality,138.5363,3760376.482
San Diego,Advertising & Marketing,2793.0811,94069714.18
San Diego,Business Products & Services,1004.4502,41529270.66
San Diego,Computer Hardware,189.7456,111649040.5
San Diego,Construction,4335.8501,58085285.2
San Diego,Consumer Products & Services,7928.4136,77809357.96
San Diego,Education,350.5503,2675589.041
San Diego,Energy,197.0012,20656014.57
San Diego,Engineering,398.1708,28925905.74
San Diego,Environmental Services,325.1138,7667209.752
San Diego,Financial Services,3889.0622,198979908.7
San Diego,Food & Beverage,834.2697,82466111.67
San Diego,Government Services,582.7167,26301215.83
San Diego,Health,3910.687,126514174.2
San Diego,Human Resources,378.8206,63538029.17
San Diego,Insurance,578.1102,4233822.821
San Diego,IT Services,2675.5101,29916025.47
San Diego,Logistics & Transportation,251.4756,5669383.319
San Diego,Manufacturing,2699.2424,103002538.9
San Diego,Media,1675,2211000
San Diego,Real Estate,6967.7566,20518448.75
San Diego,Retail,830.4502,73113832.1
San Diego,Security,0,0
San Diego,Software,6192.0853,79098412.49
San Diego,Telecommunications,0,0
San Diego,Travel & Hospitality,439.0766,31322711.52
San Francisco,Advertising & Marketing,10699.396,387236401.2
San Francisco,Business Products & Services,5144.2423,204784872.4
San Francisco,Computer Hardware,168.6872,13191937.06
San Francisco,Construction,990.292,181118340.6
San Francisco,Consumer Products & Services,9119.83,1092430777
San Francisco,Education,6240.7344,31953593.42
San Francisco,Energy,3310.8003,75717974.02
San Francisco,Engineering,289.4475,19459388.63
San Francisco,Environmental Services,432.0442,16716874.66
San Francisco,Financial Services,3384.3654,333202430.1
San Francisco,Food & Beverage,2166.6671,199209531.7
San Francisco,Government Services,0,0
San Francisco,Health,18564.4158,30294072.67
San Francisco,Human Resources,3311.9585,796366637.8
San Francisco,Insurance,166.7333,2216670.952
San Francisco,IT Services,5343.297,275514253
San Francisco,Logistics & Transportation,1496.7795,89681958.45
San Francisco,Manufacturing,638.2708,68026562.2
San Francisco,Media,3738.7639,52598516.5
San Francisco,Real Estate,814.2398,3251102978
San Francisco,Retail,12154.9794,81119091.01
San Francisco,Security,353.7905,14833625.99
San Francisco,Software,24531.3083,558142367.1
San Francisco,Telecommunications,2898.559,70759050.91
San Francisco,Travel & Hospitality,0,0
San Jose,Advertising & Marketing,3614.0526,28369470.93
San Jose,Business Products & Services,253.2311,70845393.03
San Jose,Computer Hardware,610.4475,39763395.65
San Jose,Construction,64.6899,23518681.24
San Jose,Consumer Products & Services,173.413,106485995.2
San Jose,Education,0,0
San Jose,Energy,205.9927,5053000.304
San Jose,Engineering,78.1246,7471299.577
San Jose,Environmental Services,109.3661,20993864.55
San Jose,Financial Services,677.7868,13786630.41
San Jose,Food & Beverage,342.7062,17353407.28
San Jose,Government Services,0,0
San Jose,Health,3965.322,51400663.66
San Jose,Human Resources,109.3587,21132773.16
San Jose,Insurance,0,0
San Jose,IT Services,3017.2617,142297245.6
San Jose,Logistics & Transportation,0,0
San Jose,Manufacturing,778.4738,8643184.047
San Jose,Media,3018.5723,21331163.99
San Jose,Real Estate,0,0
San Jose,Retail,130.67,4043163.303
San Jose,Security,452.1374,24419539.9
San Jose,Software,33957.6684,626800799
San Jose,Telecommunications,0,0
San Jose,Travel & Hospitality,0,0
San Jose,Media,0,0
San Jose,Real Estate,0,0
San Jose,Retail,0,0
San Jose,Security,0,0
San Jose,Software,0,0
San Jose,Telecommunications,0,0
San Jose,Travel & Hospitality,0,0
