State,State (long),Industry Categories,Growth (%) 2013-2014,Growth ($) 2013-2014
AK,Alaska,Consumer Sector,67.5724,4966626.886
AK,Alaska,Energy,0,0
AK,Alaska,Financials,0,0
AK,Alaska,Health Care,0,0
AK,Alaska,Industrials,0,0
AK,Alaska,Information Technology,0,0
AK,Alaska,Telecommunication Services,0,0
AL,Alabama,Consumer Sector,3820.8135,60634824.67
AL,Alabama,Energy,311.3011,25647355.42
AL,Alabama,Financials,1944.377,52775399.1
AL,Alabama,Health Care,1970.6969,18666884.81
AL,Alabama,Industrials,26715.7943,433509328.6
AL,Alabama,Information Technology,1032.8533,68242774.16
AL,Alabama,Telecommunication Services,500.1149,58582395.29
AR,Arkansas,Consumer Sector,1036.5801,33805087.61
AR,Arkansas,Energy,315.7271,5377458.856
AR,Arkansas,Financials,85.4256,1593755.281
AR,Arkansas,Health Care,0,0
AR,Arkansas,Industrials,363.2531,27783452.97
AR,Arkansas,Information Technology,56.9499,2520171.295
AR,Arkansas,Telecommunication Services,0,0
AZ,Arizona,Consumer Sector,8452.4737,414210823.7
AZ,Arizona,Energy,0,0
AZ,Arizona,Financials,32232.4162,166281807.8
AZ,Arizona,Health Care,23838.7776,863110570
AZ,Arizona,Industrials,9433.5553,373842152.5
AZ,Arizona,Information Technology,6763.0469,543052044.2
AZ,Arizona,Telecommunication Services,208.1925,19325440.69
CA,California,Consumer Sector,355360.7593,4310480967
CA,California,Energy,20717.1448,1215761890
CA,California,Financials,37118.491,5056589341
CA,California,Health Care,40991.2703,962605066.8
CA,California,Industrials,47377.3214,3614240861
CA,California,Information Technology,101466.8298,2848697628
CA,California,Telecommunication Services,5050.4016,301096394.4
CO,Colorado,Consumer Sector,27629.6003,1072014740
CO,Colorado,Energy,2656.9236,89562831.45
CO,Colorado,Financials,4738.3532,475793897.5
CO,Colorado,Health Care,2089.3981,87983461.32
CO,Colorado,Industrials,8206.4909,581681762.7
CO,Colorado,Information Technology,8579.1761,316292657.1
CO,Colorado,Telecommunication Services,816.1624,912691692.1
CT,Connecticut,Consumer Sector,2882.8827,55202061.23
CT,Connecticut,Energy,1106.1038,256284011.1
CT,Connecticut,Financials,1320.4249,328404641.9
CT,Connecticut,Health Care,2294.3725,67238499.45
CT,Connecticut,Industrials,2727.8217,330229162
CT,Connecticut,Information Technology,1750.6795,51479528.39
CT,Connecticut,Telecommunication Services,187.5894,8328404.249
DC,District of Columbia,Consumer Sector,4993.2434,10851698.98
DC,District of Columbia,Energy,1994.5298,30744384.92
DC,District of Columbia,Financials,2933.6332,39313738.41
DC,District of Columbia,Health Care,594.0254,21317836.15
DC,District of Columbia,Industrials,10940.7883,216019603.3
