"row_num","id","rank","workers","company","url","state_l","state_s","city","metro","growth_percentage","revenue2014","industry","yrs_on_list","revenue2013","growth_dollar"
0,22890,"1",227,"Fuhu","fuhu","California","CA","El Segundo","Los Angeles",158956.9106,195640000,"Consumer Products & Services",2,122999.999976109,195517000.000024
1,25747,"2",191,"Quest Nutrition","quest-nutrition","California","CA","El Segundo","Los Angeles",57347.9246,82640563,"Food & Beverage",1,143853.0000438,82496709.9999562
2,25643,"3",145,"Reliant Asset Management","reliant-asset-management","Virginia","VA","Arlington","Washington DC",55460.1646,85076502,"Business Products & Services",1,153124.999921257,84923377.0000787
3,26098,"4",62,"Superfish","superfish","California","CA","Palo Alto","San Jose",26042.963,35293000,"Software",1,134999.999808744,35158000.0001913
4,26182,"5",92,"Acacia Communications","acacia-communications","Massachusetts","MA","Maynard","Boston",20690.4578,77652360,"Telecommunications",1,373500.000562758,77278859.9994372
5,22913,"6",50,"Provider Power","provider-power","Maine","ME","Auburn","Lewiston-Auburn ME",19876.5169,137977203,"Energy",2,690697.00033643,137286505.999664
6,22937,"7",129,"Crescendo Bioscience","crescendo-bioscience","California","CA","South San Francisco","San Francisco",18375.0693,27308000,"Health",2,147810.000366277,27160189.9996337
7,25413,"8",130,"Plexus Worldwide","plexus-worldwide","Arizona","AZ","Scottsdale","Phoenix",16457.6529,159897088,"Health",1,965698.997108461,158931389.002892
8,26079,"9",264,"Vacasa","vacasa","Oregon","OR","Portland","Portland OR",16192.061,26263454,"Travel & Hospitality",1,161203.999911368,26102250.0000886
9,25861,"10",11,"Go Energies","go-energies","North Carolina","NC","Wilmington","Wilmington NC",16006.8013,32851754,"Energy",1,203961.999580885,32647792.0004191
10,25231,"11",113,"Minute Key","minute-key","Colorado","CO","Boulder","Boulder CO",14588.3448,15782039,"Consumer Products & Services",1,107446.000314481,15674592.9996855
11,26450,"12",135,"Sainstore","sainstore","Kansas","KS","Lenexa","Waterloo-Cedar Falls IA",14086.513,19243863,"Business Products & Services",1,135648.999863462,19108214.0001365
12,22892,"13",153,"The HCI Group","the-hci-group","Florida","FL","Jacksonville","Jacksonville FL",13230.9467,34583142,"Health",2,259420.000531545,34323721.9994685
13,26223,"14",313,"Dynamic Dental Partners Group","dynamic-dental-partners-group","Florida","FL","Palmetto","Sarasota-Bradenton-Venice FL",12895.5867,19802935,"Health",1,152382.000575626,19650552.9994244
14,25021,"15",159,"Aseptia","aseptia","North Carolina","NC","Raleigh","Raleigh-Cary NC",12427.4225,13887650,"Food & Beverage",1,110857.999720214,13776792.0002798
15,26535,"16",34,"Asentra Health","asentra-health","Hawaii","HI","Honolulu","Honolulu HI",12127.9133,20445071,"Health",1,167199.999692507,20277871.0003075
16,24632,"17",436,"American Solar Direct","american-solar-direct","California","CA","Los Angeles","Los Angeles",11560.3538,52086567,"Energy",1,446697.998134499,51639869.0018655
17,26246,"18",42,"Prescient Edge","prescient-edge","Virginia","VA","McLean","Washington DC",11497.7718,12315210,"Government Services",1,106186.000314302,12209023.9996857
18,22962,"19",27,"BlueSquare Resolutions","bluesquare-resolutions","Arizona","AZ","Scottsdale","Phoenix",11488.6004,46400872,"Financial Services",2,400401.000969884,46000470.9990301
19,25398,"20",44,"BES Design/Build","bes-designbuild","Alabama","AL","Fairhope","Daphne-Fairhope-Foley AL",11374.9136,11819161,"Engineering",1,102999.999930283,11716161.0000697
20,25290,"21",12,"Simpler Trading","simpler-trading","Texas","TX","Austin","Austin",10522.6415,11260000,"Financial Services",1,106000.000094139,11153999.9999059
21,24803,"22",790,"sweetFrog Premium Frozen Yogurt","sweetfrog-premium-frozen-yogurt","Virginia","VA","Richmond","Richmond VA",10371.7994,34382478,"Food & Beverage",1,328334.001508852,34054143.9984911
22,25925,"23",17,"Base Commerce","base-commerce","Arizona","AZ","Tempe","Phoenix",10186.259,12479598,"Financial Services",1,121322.999936128,12358275.0000639
23,25323,"24",102,"CPSG Partners","cpsg-partners","Texas","TX","Dallas","Dallas",9531.6371,17095000,"IT Services",1,177487.999418084,16917512.0005819
24,25679,"25",102,"MedHOK","medhok","Florida","FL","Tampa","Tampa",9109.1892,17037000,"Health",1,184999.999782826,16852000.0002172
25,25524,"26",90,"Showroom Logic","showroom-logic","Florida","FL","Miami","Miami",8448.5785,13443409,"Advertising & Marketing",1,157258.999259351,13286150.0007406
26,25360,"27",27,"WeVeel","weveel","Pennsylvania","PA","Morrisville","Dallas",8239.8148,9007000,"Consumer Products & Services",1,108000.000191851,8898999.99980815
27,25764,"28",10,"PackIt","packit","California","CA","Westlake Village","Los Angeles",7877.9544,11874148,"Consumer Products & Services",1,148837.000121234,11725310.9998788
28,25317,"29",8,"American Retirement Advisors","american-retirement-advisors","Arizona","AZ","Scottsdale","Phoenix",7758.1594,13876488,"Financial Services",1,176587.000767635,13699900.9992324
29,26342,"30",200,"HighPoint Global","highpoint-global","Indiana","IN","Indianapolis","Indianapolis IN",7638.5408,95810719,"Business Products & Services",1,1238098.00162842,94572620.9983716
30,24949,"31",33,"AdKarma","adkarma","Missouri","MO","Columbia","Columbia MO",7635.2397,13326503,"Advertising & Marketing",1,172282.999840328,13154220.0001597
31,25188,"32",176,"Axtria","axtria","New Jersey","NJ","Berkeley Heights","New York City",7351.2959,8963909,"IT Services",1,120300.000433482,8843608.99956652
32,25240,"33",24,"Dolls Kill","dolls-kill","California","CA","San Francisco","San Francisco",7055.6604,7585000,"Retail",1,105999.999664601,7479000.0003354
33,25357,"34",140,"Centric Digital","centric-digital","New York","NY","New York","New York City",6898.4173,18045419,"Business Products & Services",1,257849.999884974,17787569.000115
34,25522,"35",55,"Retail Capital","retail-capital","Michigan","MI","Troy","Detroit",6861.3577,7013359,"Financial Services",1,100746.999396396,6912612.0006036
35,22949,"36",61,"Restore Health","restore-health","Wisconsin","WI","Madison","Madison WI",6663.1769,6821205,"Health",2,100858.000623938,6720346.99937606
36,25527,"37",53,"OpenRoad Lending","openroad-lending","Texas","TX","North Richland Hills","Dallas",6603.3722,8853881,"Financial Services",1,132080.999470684,8721800.00052932
37,25755,"38",25,"Pontchartrain Partners","pontchartrain-partners","Louisiana","LA","New Orleans","New Orleans-Metairie-Kenner LA",6535.0538,10545091,"Government Services",1,158929.99993459,10386161.0000654
38,25634,"39",1,"Team Extreme Marketing International","team-extreme-marketing-international","Maryland","MD","Chevy Chase","Washington DC",6369.1921,6772856,"Consumer Products & Services",1,104694.000352842,6668161.99964716
39,25306,"40",4,"Choice Energy","choice-energy","Iowa","IA","Des Moines","Des Moines-West Des Moines IA",6020.9548,20894369,"Energy",1,341358.001859448,20553010.9981406
40,26117,"41",24,"ReviMedia","revimedia","New York","NY","New York","New York City",5817.1289,5963105,"Advertising & Marketing",1,100777.000142755,5862327.99985725
41,26490,"42",96,"SmartZip Analytics","smartzip-analytics","California","CA","Pleasanton","San Francisco",5811.3568,11396150,"Software",1,192783.998421479,11203366.0015785
42,25659,"43",48,"Thompson Gray","thompson-gray","Alabama","AL","Huntsville","Huntsville AL",5752.5251,14104761,"Government Services",1,241002.998859415,13863758.0011406
43,26179,"44",147,"MCSG Technologies","mcsg-technologies","Oklahoma","OK","Norman","Oklahoma City OK",5715.2859,7686703,"IT Services",1,132180.99904598,7554522.00095402
44,25965,"45",20,"Innovative Surveillance Solutions","innovative-surveillance-solutions","Texas","TX","Tyler","Tyler TX",5604.7826,10247444,"Security",1,179629.001112155,10067814.9988878
45,25677,"46",379,"Nordic","nordic","Wisconsin","WI","Madison","Madison WI",5593.0143,81410104,"Health",1,1429999.99139296,79980104.008607
46,25385,"47",40,"Michigan Realty Solutions","michigan-realty-solutions","Michigan","MI","Richmond","Detroit",5530.8057,6178120,"Real Estate",1,109719.999750657,6068400.00024934
47,25931,"48",17,"Ohio Investments","ohio-investments","Ohio","OH","Enon","Springfield OH",5507.4529,23809245,"Real Estate",1,424599.999761032,23384645.000239
48,25654,"49",30,"Adore Me","adore-me","New York","NY","New York","New York City",5505.55,5637838,"Retail",1,100576.000570863,5537261.99942914
49,26146,"50",35,"IQ Formulations","iq-formulations","Florida","FL","Sunrise","Miami",5486.2116,8269660,"Health",1,148036.998813292,8121623.00118671
50,26092,"51",32,"MAX Digital","max-digital","Illinois","IL","Chicago","Chicago",5483.1298,6577541,"Software",1,117810.999128123,6459730.00087188
